Image,Mask
D:\Data\brats18\train/Image/1_62_31.npy,D:\Data\brats18\train/Mask/1_62_31.npy
D:\Data\brats18\train/Image/1_62_32.npy,D:\Data\brats18\train/Mask/1_62_32.npy
D:\Data\brats18\train/Image/1_62_34.npy,D:\Data\brats18\train/Mask/1_62_34.npy
D:\Data\brats18\train/Image/1_62_35.npy,D:\Data\brats18\train/Mask/1_62_35.npy
D:\Data\brats18\train/Image/1_62_37.npy,D:\Data\brats18\train/Mask/1_62_37.npy
D:\Data\brats18\train/Image/1_62_38.npy,D:\Data\brats18\train/Mask/1_62_38.npy
D:\Data\brats18\train/Image/1_62_4.npy,D:\Data\brats18\train/Mask/1_62_4.npy
D:\Data\brats18\train/Image/1_62_40.npy,D:\Data\brats18\train/Mask/1_62_40.npy
D:\Data\brats18\train/Image/1_62_41.npy,D:\Data\brats18\train/Mask/1_62_41.npy
D:\Data\brats18\train/Image/1_62_43.npy,D:\Data\brats18\train/Mask/1_62_43.npy
D:\Data\brats18\train/Image/1_62_44.npy,D:\Data\brats18\train/Mask/1_62_44.npy
D:\Data\brats18\train/Image/1_62_46.npy,D:\Data\brats18\train/Mask/1_62_46.npy
D:\Data\brats18\train/Image/1_62_47.npy,D:\Data\brats18\train/Mask/1_62_47.npy
D:\Data\brats18\train/Image/1_62_49.npy,D:\Data\brats18\train/Mask/1_62_49.npy
D:\Data\brats18\train/Image/1_62_5.npy,D:\Data\brats18\train/Mask/1_62_5.npy
D:\Data\brats18\train/Image/1_62_50.npy,D:\Data\brats18\train/Mask/1_62_50.npy
D:\Data\brats18\train/Image/1_62_52.npy,D:\Data\brats18\train/Mask/1_62_52.npy
D:\Data\brats18\train/Image/1_62_53.npy,D:\Data\brats18\train/Mask/1_62_53.npy
D:\Data\brats18\train/Image/1_62_55.npy,D:\Data\brats18\train/Mask/1_62_55.npy
D:\Data\brats18\train/Image/1_62_56.npy,D:\Data\brats18\train/Mask/1_62_56.npy
D:\Data\brats18\train/Image/1_62_58.npy,D:\Data\brats18\train/Mask/1_62_58.npy
D:\Data\brats18\train/Image/1_62_59.npy,D:\Data\brats18\train/Mask/1_62_59.npy
D:\Data\brats18\train/Image/1_62_61.npy,D:\Data\brats18\train/Mask/1_62_61.npy
D:\Data\brats18\train/Image/1_62_62.npy,D:\Data\brats18\train/Mask/1_62_62.npy
D:\Data\brats18\train/Image/1_62_64.npy,D:\Data\brats18\train/Mask/1_62_64.npy
D:\Data\brats18\train/Image/1_62_65.npy,D:\Data\brats18\train/Mask/1_62_65.npy
D:\Data\brats18\train/Image/1_62_67.npy,D:\Data\brats18\train/Mask/1_62_67.npy
D:\Data\brats18\train/Image/1_62_68.npy,D:\Data\brats18\train/Mask/1_62_68.npy
D:\Data\brats18\train/Image/1_62_7.npy,D:\Data\brats18\train/Mask/1_62_7.npy
D:\Data\brats18\train/Image/1_62_70.npy,D:\Data\brats18\train/Mask/1_62_70.npy
D:\Data\brats18\train/Image/1_62_71.npy,D:\Data\brats18\train/Mask/1_62_71.npy
D:\Data\brats18\train/Image/1_62_73.npy,D:\Data\brats18\train/Mask/1_62_73.npy
D:\Data\brats18\train/Image/1_62_74.npy,D:\Data\brats18\train/Mask/1_62_74.npy
D:\Data\brats18\train/Image/1_62_76.npy,D:\Data\brats18\train/Mask/1_62_76.npy
D:\Data\brats18\train/Image/1_62_77.npy,D:\Data\brats18\train/Mask/1_62_77.npy
D:\Data\brats18\train/Image/1_62_79.npy,D:\Data\brats18\train/Mask/1_62_79.npy
D:\Data\brats18\train/Image/1_62_8.npy,D:\Data\brats18\train/Mask/1_62_8.npy
D:\Data\brats18\train/Image/1_62_80.npy,D:\Data\brats18\train/Mask/1_62_80.npy
D:\Data\brats18\train/Image/1_62_82.npy,D:\Data\brats18\train/Mask/1_62_82.npy
D:\Data\brats18\train/Image/1_62_83.npy,D:\Data\brats18\train/Mask/1_62_83.npy
D:\Data\brats18\train/Image/1_62_85.npy,D:\Data\brats18\train/Mask/1_62_85.npy
D:\Data\brats18\train/Image/1_62_86.npy,D:\Data\brats18\train/Mask/1_62_86.npy
D:\Data\brats18\train/Image/1_62_88.npy,D:\Data\brats18\train/Mask/1_62_88.npy
D:\Data\brats18\train/Image/1_62_89.npy,D:\Data\brats18\train/Mask/1_62_89.npy
D:\Data\brats18\train/Image/1_62_91.npy,D:\Data\brats18\train/Mask/1_62_91.npy
D:\Data\brats18\train/Image/1_62_92.npy,D:\Data\brats18\train/Mask/1_62_92.npy
D:\Data\brats18\train/Image/1_62_94.npy,D:\Data\brats18\train/Mask/1_62_94.npy
D:\Data\brats18\train/Image/1_62_95.npy,D:\Data\brats18\train/Mask/1_62_95.npy
D:\Data\brats18\train/Image/1_62_97.npy,D:\Data\brats18\train/Mask/1_62_97.npy
D:\Data\brats18\train/Image/1_62_98.npy,D:\Data\brats18\train/Mask/1_62_98.npy
D:\Data\brats18\train/Image/1_63_102.npy,D:\Data\brats18\train/Mask/1_63_102.npy
D:\Data\brats18\train/Image/1_63_103.npy,D:\Data\brats18\train/Mask/1_63_103.npy
D:\Data\brats18\train/Image/1_63_104.npy,D:\Data\brats18\train/Mask/1_63_104.npy
D:\Data\brats18\train/Image/1_63_105.npy,D:\Data\brats18\train/Mask/1_63_105.npy
D:\Data\brats18\train/Image/1_63_106.npy,D:\Data\brats18\train/Mask/1_63_106.npy
D:\Data\brats18\train/Image/1_63_107.npy,D:\Data\brats18\train/Mask/1_63_107.npy
D:\Data\brats18\train/Image/1_63_111.npy,D:\Data\brats18\train/Mask/1_63_111.npy
D:\Data\brats18\train/Image/1_63_112.npy,D:\Data\brats18\train/Mask/1_63_112.npy
D:\Data\brats18\train/Image/1_63_113.npy,D:\Data\brats18\train/Mask/1_63_113.npy
D:\Data\brats18\train/Image/1_63_114.npy,D:\Data\brats18\train/Mask/1_63_114.npy
D:\Data\brats18\train/Image/1_63_115.npy,D:\Data\brats18\train/Mask/1_63_115.npy
D:\Data\brats18\train/Image/1_63_116.npy,D:\Data\brats18\train/Mask/1_63_116.npy
D:\Data\brats18\train/Image/1_63_12.npy,D:\Data\brats18\train/Mask/1_63_12.npy
D:\Data\brats18\train/Image/1_63_120.npy,D:\Data\brats18\train/Mask/1_63_120.npy
D:\Data\brats18\train/Image/1_63_121.npy,D:\Data\brats18\train/Mask/1_63_121.npy
D:\Data\brats18\train/Image/1_63_122.npy,D:\Data\brats18\train/Mask/1_63_122.npy
D:\Data\brats18\train/Image/1_63_123.npy,D:\Data\brats18\train/Mask/1_63_123.npy
D:\Data\brats18\train/Image/1_63_124.npy,D:\Data\brats18\train/Mask/1_63_124.npy
D:\Data\brats18\train/Image/1_63_125.npy,D:\Data\brats18\train/Mask/1_63_125.npy
D:\Data\brats18\train/Image/1_63_13.npy,D:\Data\brats18\train/Mask/1_63_13.npy
D:\Data\brats18\train/Image/1_63_14.npy,D:\Data\brats18\train/Mask/1_63_14.npy
D:\Data\brats18\train/Image/1_63_15.npy,D:\Data\brats18\train/Mask/1_63_15.npy
D:\Data\brats18\train/Image/1_63_16.npy,D:\Data\brats18\train/Mask/1_63_16.npy
D:\Data\brats18\train/Image/1_63_17.npy,D:\Data\brats18\train/Mask/1_63_17.npy
D:\Data\brats18\train/Image/1_63_21.npy,D:\Data\brats18\train/Mask/1_63_21.npy
D:\Data\brats18\train/Image/1_63_22.npy,D:\Data\brats18\train/Mask/1_63_22.npy
D:\Data\brats18\train/Image/1_63_23.npy,D:\Data\brats18\train/Mask/1_63_23.npy
D:\Data\brats18\train/Image/1_63_24.npy,D:\Data\brats18\train/Mask/1_63_24.npy
D:\Data\brats18\train/Image/1_63_25.npy,D:\Data\brats18\train/Mask/1_63_25.npy
D:\Data\brats18\train/Image/1_63_26.npy,D:\Data\brats18\train/Mask/1_63_26.npy
D:\Data\brats18\train/Image/1_63_30.npy,D:\Data\brats18\train/Mask/1_63_30.npy
D:\Data\brats18\train/Image/1_63_31.npy,D:\Data\brats18\train/Mask/1_63_31.npy
D:\Data\brats18\train/Image/1_63_32.npy,D:\Data\brats18\train/Mask/1_63_32.npy
D:\Data\brats18\train/Image/1_63_33.npy,D:\Data\brats18\train/Mask/1_63_33.npy
D:\Data\brats18\train/Image/1_63_34.npy,D:\Data\brats18\train/Mask/1_63_34.npy
D:\Data\brats18\train/Image/1_63_35.npy,D:\Data\brats18\train/Mask/1_63_35.npy
D:\Data\brats18\train/Image/1_63_39.npy,D:\Data\brats18\train/Mask/1_63_39.npy
D:\Data\brats18\train/Image/1_63_4.npy,D:\Data\brats18\train/Mask/1_63_4.npy
D:\Data\brats18\train/Image/1_63_40.npy,D:\Data\brats18\train/Mask/1_63_40.npy
D:\Data\brats18\train/Image/1_63_41.npy,D:\Data\brats18\train/Mask/1_63_41.npy
D:\Data\brats18\train/Image/1_63_42.npy,D:\Data\brats18\train/Mask/1_63_42.npy
D:\Data\brats18\train/Image/1_63_43.npy,D:\Data\brats18\train/Mask/1_63_43.npy
D:\Data\brats18\train/Image/1_63_44.npy,D:\Data\brats18\train/Mask/1_63_44.npy
D:\Data\brats18\train/Image/1_63_48.npy,D:\Data\brats18\train/Mask/1_63_48.npy
D:\Data\brats18\train/Image/1_63_49.npy,D:\Data\brats18\train/Mask/1_63_49.npy
D:\Data\brats18\train/Image/1_63_5.npy,D:\Data\brats18\train/Mask/1_63_5.npy
D:\Data\brats18\train/Image/1_63_50.npy,D:\Data\brats18\train/Mask/1_63_50.npy
D:\Data\brats18\train/Image/1_63_51.npy,D:\Data\brats18\train/Mask/1_63_51.npy
D:\Data\brats18\train/Image/1_63_52.npy,D:\Data\brats18\train/Mask/1_63_52.npy
D:\Data\brats18\train/Image/1_63_53.npy,D:\Data\brats18\train/Mask/1_63_53.npy
D:\Data\brats18\train/Image/1_63_57.npy,D:\Data\brats18\train/Mask/1_63_57.npy
D:\Data\brats18\train/Image/1_63_58.npy,D:\Data\brats18\train/Mask/1_63_58.npy
D:\Data\brats18\train/Image/1_63_59.npy,D:\Data\brats18\train/Mask/1_63_59.npy
D:\Data\brats18\train/Image/1_63_6.npy,D:\Data\brats18\train/Mask/1_63_6.npy
D:\Data\brats18\train/Image/1_63_60.npy,D:\Data\brats18\train/Mask/1_63_60.npy
D:\Data\brats18\train/Image/1_63_61.npy,D:\Data\brats18\train/Mask/1_63_61.npy
D:\Data\brats18\train/Image/1_63_62.npy,D:\Data\brats18\train/Mask/1_63_62.npy
D:\Data\brats18\train/Image/1_63_66.npy,D:\Data\brats18\train/Mask/1_63_66.npy
D:\Data\brats18\train/Image/1_63_67.npy,D:\Data\brats18\train/Mask/1_63_67.npy
D:\Data\brats18\train/Image/1_63_68.npy,D:\Data\brats18\train/Mask/1_63_68.npy
D:\Data\brats18\train/Image/1_63_69.npy,D:\Data\brats18\train/Mask/1_63_69.npy
D:\Data\brats18\train/Image/1_63_7.npy,D:\Data\brats18\train/Mask/1_63_7.npy
D:\Data\brats18\train/Image/1_63_70.npy,D:\Data\brats18\train/Mask/1_63_70.npy
D:\Data\brats18\train/Image/1_63_71.npy,D:\Data\brats18\train/Mask/1_63_71.npy
D:\Data\brats18\train/Image/1_63_75.npy,D:\Data\brats18\train/Mask/1_63_75.npy
D:\Data\brats18\train/Image/1_63_76.npy,D:\Data\brats18\train/Mask/1_63_76.npy
D:\Data\brats18\train/Image/1_63_77.npy,D:\Data\brats18\train/Mask/1_63_77.npy
D:\Data\brats18\train/Image/1_63_78.npy,D:\Data\brats18\train/Mask/1_63_78.npy
D:\Data\brats18\train/Image/1_63_79.npy,D:\Data\brats18\train/Mask/1_63_79.npy
D:\Data\brats18\train/Image/1_63_8.npy,D:\Data\brats18\train/Mask/1_63_8.npy
D:\Data\brats18\train/Image/1_63_80.npy,D:\Data\brats18\train/Mask/1_63_80.npy
D:\Data\brats18\train/Image/1_63_84.npy,D:\Data\brats18\train/Mask/1_63_84.npy
D:\Data\brats18\train/Image/1_63_85.npy,D:\Data\brats18\train/Mask/1_63_85.npy
D:\Data\brats18\train/Image/1_63_86.npy,D:\Data\brats18\train/Mask/1_63_86.npy
D:\Data\brats18\train/Image/1_63_87.npy,D:\Data\brats18\train/Mask/1_63_87.npy
D:\Data\brats18\train/Image/1_63_88.npy,D:\Data\brats18\train/Mask/1_63_88.npy
D:\Data\brats18\train/Image/1_63_89.npy,D:\Data\brats18\train/Mask/1_63_89.npy
D:\Data\brats18\train/Image/1_63_93.npy,D:\Data\brats18\train/Mask/1_63_93.npy
D:\Data\brats18\train/Image/1_63_94.npy,D:\Data\brats18\train/Mask/1_63_94.npy
D:\Data\brats18\train/Image/1_63_95.npy,D:\Data\brats18\train/Mask/1_63_95.npy
D:\Data\brats18\train/Image/1_63_96.npy,D:\Data\brats18\train/Mask/1_63_96.npy
D:\Data\brats18\train/Image/1_63_97.npy,D:\Data\brats18\train/Mask/1_63_97.npy
D:\Data\brats18\train/Image/1_63_98.npy,D:\Data\brats18\train/Mask/1_63_98.npy
D:\Data\brats18\train/Image/1_64_0.npy,D:\Data\brats18\train/Mask/1_64_0.npy
D:\Data\brats18\train/Image/1_64_1.npy,D:\Data\brats18\train/Mask/1_64_1.npy
D:\Data\brats18\train/Image/1_64_10.npy,D:\Data\brats18\train/Mask/1_64_10.npy
D:\Data\brats18\train/Image/1_64_102.npy,D:\Data\brats18\train/Mask/1_64_102.npy
D:\Data\brats18\train/Image/1_64_103.npy,D:\Data\brats18\train/Mask/1_64_103.npy
D:\Data\brats18\train/Image/1_64_104.npy,D:\Data\brats18\train/Mask/1_64_104.npy
D:\Data\brats18\train/Image/1_64_105.npy,D:\Data\brats18\train/Mask/1_64_105.npy
D:\Data\brats18\train/Image/1_64_106.npy,D:\Data\brats18\train/Mask/1_64_106.npy
D:\Data\brats18\train/Image/1_64_107.npy,D:\Data\brats18\train/Mask/1_64_107.npy
D:\Data\brats18\train/Image/1_64_111.npy,D:\Data\brats18\train/Mask/1_64_111.npy
D:\Data\brats18\train/Image/1_64_112.npy,D:\Data\brats18\train/Mask/1_64_112.npy
D:\Data\brats18\train/Image/1_64_113.npy,D:\Data\brats18\train/Mask/1_64_113.npy
D:\Data\brats18\train/Image/1_64_114.npy,D:\Data\brats18\train/Mask/1_64_114.npy
D:\Data\brats18\train/Image/1_64_115.npy,D:\Data\brats18\train/Mask/1_64_115.npy
D:\Data\brats18\train/Image/1_64_116.npy,D:\Data\brats18\train/Mask/1_64_116.npy
D:\Data\brats18\train/Image/1_64_12.npy,D:\Data\brats18\train/Mask/1_64_12.npy
D:\Data\brats18\train/Image/1_64_120.npy,D:\Data\brats18\train/Mask/1_64_120.npy
D:\Data\brats18\train/Image/1_64_121.npy,D:\Data\brats18\train/Mask/1_64_121.npy
D:\Data\brats18\train/Image/1_64_123.npy,D:\Data\brats18\train/Mask/1_64_123.npy
D:\Data\brats18\train/Image/1_64_124.npy,D:\Data\brats18\train/Mask/1_64_124.npy
D:\Data\brats18\train/Image/1_64_13.npy,D:\Data\brats18\train/Mask/1_64_13.npy
D:\Data\brats18\train/Image/1_64_15.npy,D:\Data\brats18\train/Mask/1_64_15.npy
D:\Data\brats18\train/Image/1_64_16.npy,D:\Data\brats18\train/Mask/1_64_16.npy
D:\Data\brats18\train/Image/1_64_18.npy,D:\Data\brats18\train/Mask/1_64_18.npy
D:\Data\brats18\train/Image/1_64_19.npy,D:\Data\brats18\train/Mask/1_64_19.npy
D:\Data\brats18\train/Image/1_64_21.npy,D:\Data\brats18\train/Mask/1_64_21.npy
D:\Data\brats18\train/Image/1_64_22.npy,D:\Data\brats18\train/Mask/1_64_22.npy
D:\Data\brats18\train/Image/1_64_24.npy,D:\Data\brats18\train/Mask/1_64_24.npy
D:\Data\brats18\train/Image/1_64_25.npy,D:\Data\brats18\train/Mask/1_64_25.npy
D:\Data\brats18\train/Image/1_64_27.npy,D:\Data\brats18\train/Mask/1_64_27.npy
D:\Data\brats18\train/Image/1_64_28.npy,D:\Data\brats18\train/Mask/1_64_28.npy
D:\Data\brats18\train/Image/1_64_3.npy,D:\Data\brats18\train/Mask/1_64_3.npy
D:\Data\brats18\train/Image/1_64_30.npy,D:\Data\brats18\train/Mask/1_64_30.npy
D:\Data\brats18\train/Image/1_64_31.npy,D:\Data\brats18\train/Mask/1_64_31.npy
D:\Data\brats18\train/Image/1_64_33.npy,D:\Data\brats18\train/Mask/1_64_33.npy
D:\Data\brats18\train/Image/1_64_34.npy,D:\Data\brats18\train/Mask/1_64_34.npy
D:\Data\brats18\train/Image/1_64_36.npy,D:\Data\brats18\train/Mask/1_64_36.npy
D:\Data\brats18\train/Image/1_64_37.npy,D:\Data\brats18\train/Mask/1_64_37.npy
D:\Data\brats18\train/Image/1_64_39.npy,D:\Data\brats18\train/Mask/1_64_39.npy
D:\Data\brats18\train/Image/1_64_4.npy,D:\Data\brats18\train/Mask/1_64_4.npy
D:\Data\brats18\train/Image/1_64_40.npy,D:\Data\brats18\train/Mask/1_64_40.npy
D:\Data\brats18\train/Image/1_64_41.npy,D:\Data\brats18\train/Mask/1_64_41.npy
D:\Data\brats18\train/Image/1_64_42.npy,D:\Data\brats18\train/Mask/1_64_42.npy
D:\Data\brats18\train/Image/1_64_43.npy,D:\Data\brats18\train/Mask/1_64_43.npy
D:\Data\brats18\train/Image/1_64_44.npy,D:\Data\brats18\train/Mask/1_64_44.npy
D:\Data\brats18\train/Image/1_64_45.npy,D:\Data\brats18\train/Mask/1_64_45.npy
D:\Data\brats18\train/Image/1_64_46.npy,D:\Data\brats18\train/Mask/1_64_46.npy
D:\Data\brats18\train/Image/1_64_48.npy,D:\Data\brats18\train/Mask/1_64_48.npy
D:\Data\brats18\train/Image/1_64_49.npy,D:\Data\brats18\train/Mask/1_64_49.npy
D:\Data\brats18\train/Image/1_64_50.npy,D:\Data\brats18\train/Mask/1_64_50.npy
D:\Data\brats18\train/Image/1_64_51.npy,D:\Data\brats18\train/Mask/1_64_51.npy
D:\Data\brats18\train/Image/1_64_52.npy,D:\Data\brats18\train/Mask/1_64_52.npy
D:\Data\brats18\train/Image/1_64_53.npy,D:\Data\brats18\train/Mask/1_64_53.npy
D:\Data\brats18\train/Image/1_64_54.npy,D:\Data\brats18\train/Mask/1_64_54.npy
D:\Data\brats18\train/Image/1_64_55.npy,D:\Data\brats18\train/Mask/1_64_55.npy
D:\Data\brats18\train/Image/1_64_57.npy,D:\Data\brats18\train/Mask/1_64_57.npy
D:\Data\brats18\train/Image/1_64_58.npy,D:\Data\brats18\train/Mask/1_64_58.npy
D:\Data\brats18\train/Image/1_64_59.npy,D:\Data\brats18\train/Mask/1_64_59.npy
D:\Data\brats18\train/Image/1_64_6.npy,D:\Data\brats18\train/Mask/1_64_6.npy
D:\Data\brats18\train/Image/1_64_60.npy,D:\Data\brats18\train/Mask/1_64_60.npy
D:\Data\brats18\train/Image/1_64_61.npy,D:\Data\brats18\train/Mask/1_64_61.npy
D:\Data\brats18\train/Image/1_64_62.npy,D:\Data\brats18\train/Mask/1_64_62.npy
D:\Data\brats18\train/Image/1_64_63.npy,D:\Data\brats18\train/Mask/1_64_63.npy
D:\Data\brats18\train/Image/1_64_64.npy,D:\Data\brats18\train/Mask/1_64_64.npy
D:\Data\brats18\train/Image/1_64_66.npy,D:\Data\brats18\train/Mask/1_64_66.npy
D:\Data\brats18\train/Image/1_64_67.npy,D:\Data\brats18\train/Mask/1_64_67.npy
D:\Data\brats18\train/Image/1_64_68.npy,D:\Data\brats18\train/Mask/1_64_68.npy
D:\Data\brats18\train/Image/1_64_69.npy,D:\Data\brats18\train/Mask/1_64_69.npy
D:\Data\brats18\train/Image/1_64_7.npy,D:\Data\brats18\train/Mask/1_64_7.npy
D:\Data\brats18\train/Image/1_64_70.npy,D:\Data\brats18\train/Mask/1_64_70.npy
D:\Data\brats18\train/Image/1_64_71.npy,D:\Data\brats18\train/Mask/1_64_71.npy
D:\Data\brats18\train/Image/1_64_72.npy,D:\Data\brats18\train/Mask/1_64_72.npy
D:\Data\brats18\train/Image/1_64_73.npy,D:\Data\brats18\train/Mask/1_64_73.npy
D:\Data\brats18\train/Image/1_64_75.npy,D:\Data\brats18\train/Mask/1_64_75.npy
D:\Data\brats18\train/Image/1_64_76.npy,D:\Data\brats18\train/Mask/1_64_76.npy
D:\Data\brats18\train/Image/1_64_77.npy,D:\Data\brats18\train/Mask/1_64_77.npy
D:\Data\brats18\train/Image/1_64_78.npy,D:\Data\brats18\train/Mask/1_64_78.npy
D:\Data\brats18\train/Image/1_64_79.npy,D:\Data\brats18\train/Mask/1_64_79.npy
D:\Data\brats18\train/Image/1_64_80.npy,D:\Data\brats18\train/Mask/1_64_80.npy
D:\Data\brats18\train/Image/1_64_81.npy,D:\Data\brats18\train/Mask/1_64_81.npy
D:\Data\brats18\train/Image/1_64_82.npy,D:\Data\brats18\train/Mask/1_64_82.npy
D:\Data\brats18\train/Image/1_64_84.npy,D:\Data\brats18\train/Mask/1_64_84.npy
D:\Data\brats18\train/Image/1_64_85.npy,D:\Data\brats18\train/Mask/1_64_85.npy
D:\Data\brats18\train/Image/1_64_86.npy,D:\Data\brats18\train/Mask/1_64_86.npy
D:\Data\brats18\train/Image/1_64_87.npy,D:\Data\brats18\train/Mask/1_64_87.npy
D:\Data\brats18\train/Image/1_64_88.npy,D:\Data\brats18\train/Mask/1_64_88.npy
D:\Data\brats18\train/Image/1_64_89.npy,D:\Data\brats18\train/Mask/1_64_89.npy
D:\Data\brats18\train/Image/1_64_9.npy,D:\Data\brats18\train/Mask/1_64_9.npy
D:\Data\brats18\train/Image/1_64_93.npy,D:\Data\brats18\train/Mask/1_64_93.npy
D:\Data\brats18\train/Image/1_64_94.npy,D:\Data\brats18\train/Mask/1_64_94.npy
D:\Data\brats18\train/Image/1_64_95.npy,D:\Data\brats18\train/Mask/1_64_95.npy
D:\Data\brats18\train/Image/1_64_96.npy,D:\Data\brats18\train/Mask/1_64_96.npy
D:\Data\brats18\train/Image/1_64_97.npy,D:\Data\brats18\train/Mask/1_64_97.npy
D:\Data\brats18\train/Image/1_64_98.npy,D:\Data\brats18\train/Mask/1_64_98.npy
D:\Data\brats18\train/Image/1_65_0.npy,D:\Data\brats18\train/Mask/1_65_0.npy
D:\Data\brats18\train/Image/1_65_1.npy,D:\Data\brats18\train/Mask/1_65_1.npy
D:\Data\brats18\train/Image/1_65_10.npy,D:\Data\brats18\train/Mask/1_65_10.npy
D:\Data\brats18\train/Image/1_65_100.npy,D:\Data\brats18\train/Mask/1_65_100.npy
D:\Data\brats18\train/Image/1_65_102.npy,D:\Data\brats18\train/Mask/1_65_102.npy
D:\Data\brats18\train/Image/1_65_103.npy,D:\Data\brats18\train/Mask/1_65_103.npy
D:\Data\brats18\train/Image/1_65_104.npy,D:\Data\brats18\train/Mask/1_65_104.npy
D:\Data\brats18\train/Image/1_65_105.npy,D:\Data\brats18\train/Mask/1_65_105.npy
D:\Data\brats18\train/Image/1_65_106.npy,D:\Data\brats18\train/Mask/1_65_106.npy
D:\Data\brats18\train/Image/1_65_107.npy,D:\Data\brats18\train/Mask/1_65_107.npy
D:\Data\brats18\train/Image/1_65_108.npy,D:\Data\brats18\train/Mask/1_65_108.npy
D:\Data\brats18\train/Image/1_65_109.npy,D:\Data\brats18\train/Mask/1_65_109.npy
D:\Data\brats18\train/Image/1_65_111.npy,D:\Data\brats18\train/Mask/1_65_111.npy
D:\Data\brats18\train/Image/1_65_112.npy,D:\Data\brats18\train/Mask/1_65_112.npy
D:\Data\brats18\train/Image/1_65_113.npy,D:\Data\brats18\train/Mask/1_65_113.npy
D:\Data\brats18\train/Image/1_65_114.npy,D:\Data\brats18\train/Mask/1_65_114.npy
D:\Data\brats18\train/Image/1_65_115.npy,D:\Data\brats18\train/Mask/1_65_115.npy
D:\Data\brats18\train/Image/1_65_116.npy,D:\Data\brats18\train/Mask/1_65_116.npy
D:\Data\brats18\train/Image/1_65_117.npy,D:\Data\brats18\train/Mask/1_65_117.npy
D:\Data\brats18\train/Image/1_65_118.npy,D:\Data\brats18\train/Mask/1_65_118.npy
D:\Data\brats18\train/Image/1_65_12.npy,D:\Data\brats18\train/Mask/1_65_12.npy
D:\Data\brats18\train/Image/1_65_120.npy,D:\Data\brats18\train/Mask/1_65_120.npy
D:\Data\brats18\train/Image/1_65_121.npy,D:\Data\brats18\train/Mask/1_65_121.npy
D:\Data\brats18\train/Image/1_65_122.npy,D:\Data\brats18\train/Mask/1_65_122.npy
D:\Data\brats18\train/Image/1_65_123.npy,D:\Data\brats18\train/Mask/1_65_123.npy
D:\Data\brats18\train/Image/1_65_124.npy,D:\Data\brats18\train/Mask/1_65_124.npy
D:\Data\brats18\train/Image/1_65_125.npy,D:\Data\brats18\train/Mask/1_65_125.npy
D:\Data\brats18\train/Image/1_65_13.npy,D:\Data\brats18\train/Mask/1_65_13.npy
D:\Data\brats18\train/Image/1_65_15.npy,D:\Data\brats18\train/Mask/1_65_15.npy
D:\Data\brats18\train/Image/1_65_16.npy,D:\Data\brats18\train/Mask/1_65_16.npy
D:\Data\brats18\train/Image/1_65_18.npy,D:\Data\brats18\train/Mask/1_65_18.npy
D:\Data\brats18\train/Image/1_65_19.npy,D:\Data\brats18\train/Mask/1_65_19.npy
D:\Data\brats18\train/Image/1_65_21.npy,D:\Data\brats18\train/Mask/1_65_21.npy
D:\Data\brats18\train/Image/1_65_22.npy,D:\Data\brats18\train/Mask/1_65_22.npy
D:\Data\brats18\train/Image/1_65_24.npy,D:\Data\brats18\train/Mask/1_65_24.npy
D:\Data\brats18\train/Image/1_65_25.npy,D:\Data\brats18\train/Mask/1_65_25.npy
D:\Data\brats18\train/Image/1_65_27.npy,D:\Data\brats18\train/Mask/1_65_27.npy
D:\Data\brats18\train/Image/1_65_28.npy,D:\Data\brats18\train/Mask/1_65_28.npy
D:\Data\brats18\train/Image/1_65_3.npy,D:\Data\brats18\train/Mask/1_65_3.npy
D:\Data\brats18\train/Image/1_65_30.npy,D:\Data\brats18\train/Mask/1_65_30.npy
D:\Data\brats18\train/Image/1_65_31.npy,D:\Data\brats18\train/Mask/1_65_31.npy
D:\Data\brats18\train/Image/1_65_33.npy,D:\Data\brats18\train/Mask/1_65_33.npy
D:\Data\brats18\train/Image/1_65_34.npy,D:\Data\brats18\train/Mask/1_65_34.npy
D:\Data\brats18\train/Image/1_65_36.npy,D:\Data\brats18\train/Mask/1_65_36.npy
D:\Data\brats18\train/Image/1_65_37.npy,D:\Data\brats18\train/Mask/1_65_37.npy
D:\Data\brats18\train/Image/1_65_39.npy,D:\Data\brats18\train/Mask/1_65_39.npy
D:\Data\brats18\train/Image/1_65_4.npy,D:\Data\brats18\train/Mask/1_65_4.npy
D:\Data\brats18\train/Image/1_65_40.npy,D:\Data\brats18\train/Mask/1_65_40.npy
D:\Data\brats18\train/Image/1_65_41.npy,D:\Data\brats18\train/Mask/1_65_41.npy
D:\Data\brats18\train/Image/1_65_42.npy,D:\Data\brats18\train/Mask/1_65_42.npy
D:\Data\brats18\train/Image/1_65_43.npy,D:\Data\brats18\train/Mask/1_65_43.npy
D:\Data\brats18\train/Image/1_65_44.npy,D:\Data\brats18\train/Mask/1_65_44.npy
D:\Data\brats18\train/Image/1_65_45.npy,D:\Data\brats18\train/Mask/1_65_45.npy
D:\Data\brats18\train/Image/1_65_46.npy,D:\Data\brats18\train/Mask/1_65_46.npy
D:\Data\brats18\train/Image/1_65_48.npy,D:\Data\brats18\train/Mask/1_65_48.npy
D:\Data\brats18\train/Image/1_65_49.npy,D:\Data\brats18\train/Mask/1_65_49.npy
D:\Data\brats18\train/Image/1_65_50.npy,D:\Data\brats18\train/Mask/1_65_50.npy
D:\Data\brats18\train/Image/1_65_51.npy,D:\Data\brats18\train/Mask/1_65_51.npy
